level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
91,20,18,LBN,SVR_RBF,,0.3215517232257592,0.3215517232257592,0.10339551070945525,0.9680841215608382,0.07109794445875126,0.08482101530527543,0.007194604637417769,2020,0,0,log transform,0,Lebanon,Asia,0. No Excess Deaths
113,1097,1052,NPL,Bayesian_ARD,,0.02785173068523239,0.02785173068523239,0.0007757189021627155,0.9947505216054325,0.03650992467413128,0.04503996599128299,0.0020285985364959284,2020,0,0,log transform,0,Nepal,Asia,0. No Excess Deaths
112,148,148,NAM,SVR_RBF,,0.4835026062022276,0.4835026062022276,0.2337747702043464,0.9320459412333795,0.04745060160843462,0.06324015083619433,0.003999316677784611,2020,0,0,log transform,0,Namibia,Africa,0. No Excess Deaths
111,2981,1658,MMR,POISSON,,0.152429795900483,0.152429795900483,0.023234842678262903,0.9853984066192615,0.0346030273585141,0.04335065326782971,0.0018792791387475952,2020,0,0,log transform,0,Myanmar,Asia,0. No Excess Deaths
110,2981,1466,MOZ,SVR_RBF,,0.25363505902859185,0.25363505902859185,0.06433074316843727,0.9736961743059522,0.05961983954094795,0.06652804942138757,0.004425981359814588,2020,0,0,log transform,0,Mozambique,Africa,0. No Excess Deaths
108,0,0,MNE,SVR_RBF,,0.10543151756826741,0.10543151756826741,0.011115804896747879,0.9006594584541722,0.08070783947910462,0.09840284768095536,0.009683120431721303,2020,0,0,log transform,0,Montenegro,Europe,0. No Excess Deaths
106,1,1,FSM,SVR_RBF,,0.29918874106449705,0.29918874106449705,0.08951390277975867,0.9560607546911535,0.061292431440844994,0.07276251593856731,0.005294383725710261,2020,0,0,log transform,0,"Micronesia, Federated States of",Oceania,0. No Excess Deaths
103,1097,696,MRT,SVR_RBF,,0.08020845678383104,0.08020845678383104,0.006433396539643692,0.6403717878347688,0.05080397122885932,0.05817051695169362,0.0033838090424272746,2020,0,0,log transform,0,Mauritania,Africa,0. No Excess Deaths
102,0,0,MLT,SVR_RBF,,0.07509896916429892,0.07509896916429892,0.00563985516954032,0.9812094432599928,0.06896211021073559,0.08036065870811553,0.006457835468002224,2020,0,0,log transform,0,Malta,Europe,0. No Excess Deaths
99,148,108,MYS,SVR_RBF,,0.06218086860379479,0.06218086860379479,0.0038664604203223927,0.9637389964549734,0.047432419897770216,0.05808257784399608,0.0033735858490038643,2020,0,0,log transform,0,Malaysia,Asia,0. No Excess Deaths
